"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-05-18","5.82",,"0.00","0.0","0.0",,"79","54","  310","  310","18.1","21.9","    1","    1",,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-05-19","6.71",,"0.00","0.0","0.0",,"68","55","  310","  320","21.0","25.9","    1",,,"    1"
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-05-20","10.51",,"0.00","0.0","0.0",,"66","54","  300","  320","21.9","27.1",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-05-21","8.50",,"0.00","0.0","0.0",,"69","45","  320","  290","23.9","30.0",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-05-22","11.41",,"0.00","0.0","0.0",,"71","46","  310","  320","25.9","32.0",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-05-23","10.96",,"0.00","0.0","0.0",,"73","47","  310","  320","23.9","30.0",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-05-24","6.49",,"0.00","0.0","0.0",,"69","56","  310","  330","18.1","23.0","    1",,,"    1"
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-05-25","10.51",,"0.00","0.0","0.0",,"69","56","  310","  290","23.0","29.1",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-05-26","9.40",,"0.00","0.0","0.0",,"70","49","  310","  310","23.0","29.1","    1",,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-05-27","5.59",,"0.00","0.0","0.0",,"74","55","  300","  290","17.0","19.9","    1",,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-05-28","5.59",,"0.00","0.0","0.0",,"71","54","  220","  210","13.0","18.1","    1",,,"    1"
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-05-29","6.26",,"0.00","0.0","0.0",,"71","57","  300","  300","15.0","18.1","    1",,,"    1"
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-05-30","6.93",,"0.00","0.0","0.0",,"75","55","  300","  300","18.1","21.0",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-05-31","4.70",,"0.00","0.0","0.0",,"77","53","  320","  320","15.0","19.0","    1","    1",,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-06-01","4.92",,"0.00","0.0","0.0",,"76","55","  310","  310","14.1","19.0","    1",,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-06-02","5.82",,"0.00","0.0","0.0",,"81","54","  310","  310","18.1","21.9","    1","    1",,"    1"
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-06-03","3.36",,"0.00","0.0","0.0",,"83","53","  300","  300","10.1","13.0","    1","    1",,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-06-04","4.03",,"0.00","0.0","0.0",,"92","53","  290","  250","14.1","17.0","    1",,,
